ID,ABN,Charity_Legal_Name,Other_Organisation_Names,Address_Type,Address_Line_1,Address_Line_2,Address_Line_3,Town_City,State,Postcode,Country,Charity_Website,Registration_Date,Date_Organisation_Established,Charity_Size,Number_of_Responsible_Persons,Financial_Year_End,Operates_in_ACT,Operates_in_NSW,Operates_in_NT,Operates_in_QLD,Operates_in_SA,Operates_in_TAS,Operates_in_VIC,Operates_in_WA,Operating_Countries,PBI,HPC,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,Gay_Lesbian_Bisexual,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,Other_Beneficiaries,Other_Charities,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth
189,11291711287,Grafton South Congregation of Jehovah's Witnesses,,Business,163 Lawrence Rd,,,Grfaton,NSW,2460,Australia,,3/12/2012,,Small,4,31-Aug,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
190,11292468998,The Trustee for Somerville House Cultural Fund,Somerville House Foundation Ltd,Business,17 Graham St,,,South Brisbane,Queensland,4101,Australia,https://www.somerville.qld.edu.au/foundation,20/02/2019,10/04/2014,Small,12,31-Dec,,,,Y,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,Y,,,Y,,,,,,,,,,,,,,,,,Y
191,11293508607,Melbourne Tram Museum Inc.,,Business,8 Wallen Rd,,,Hawthorn,Victoria,3122,Australia,www.trammuseum.org.au,3/12/2012,1/01/2005,Small,10,30-Jun,,,,,,,Y,,,,,,Y,,,,,,,,,,,,Y,Y,Y,,,,,,,,Y,,,,,,,,,,,,,,
192,11296752873,St Kilda Mums,,Business,14 Winterton Rd,,,Clayton,Victoria,3168,Australia,https://www.stkildamums.org,3/12/2012,1/01/2009,Large,12,30-Jun,,,,,,,Y,,,Y,,,,,,,Y,,Y,,,Y,Y,,,,Y,,Y,,Y,,,,,,,,,,,,,,,,,,
193,11299736811,The Roman Catholic Archbishop Of Perth-Beaconsfield Parish, The Roman Catholic Archbishop Of Perth-Beaconsfield Parish,Business,59 Lefroy Road,,,Beaconsfield,WA,6162,AUSTRALIA,,3/12/2012,,Small,7,30-Jun,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
194,11300213344,The Southport School Parents and Friends Association Inc,,Business,,,,,,,Australia,,3/12/2012,12/11/2004,Medium,11,31-Dec,,,,Y,,,,,,,,,,Y,,,,,,,,,,Y,,,Y,,,,Y,,,,,Y,,,,,,,,Y,,,,,Y
195,11300386527,St Vincent De Paul Society (NT) Inc,,Business,3 Bradshaw Tce,,,Casuarina,Northern Territory,810,Australia,vinnies.org.au,3/12/2012,1/01/1949,Large,9,30-Jun,,,Y,,,,,,,Y,,,,,,,,,Y,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
196,11300672506,Nagambie Rsl Sub-Branch,,Business,360 High St,,,Nagambie,Victoria,3608,Australia,http://www.rslvic.com.au/rsl-network/victorian-map-of-all-branches/nagambie/,3/12/2012,1/01/1946,Small,2,31-Dec,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,
197,11300954672,SJD Foundation Ballarat Inc,,Business,,,,,,,Australia,www.sjdfoundationballarat.com,3/12/2012,1/07/2013,Small,7,30-Jun,,,,,,,Y,,,Y,,,,,,,,,,,,Y,,,Y,Y,Y,,,,Y,Y,,,,Y,,,,,,,,,,,,,Y
198,11301450257,Wide Bay Women's Health Centre Inc.,,Business,8 Truro St,,,Torquay,Queensland,4655,Australia,www.wbwhc.org.au,3/12/2012,1/01/1989,Medium,7,30-Jun,,,,Y,,,,,,,Y,,,,Y,,,,,,,Y,,Y,,,,,,Y,,Y,,,,,,,,,,,,,,,,,
